filename,np_results,tf_results
1.png,0.952268381,0.95226836
10.png,0.880033622,0.8800336
100.png,0.890365462,0.8903655
101.png,0.900073016,0.90007305
102.png,0.893816713,0.8938167
103.png,0.883452551,0.88345253
104.png,0.945475554,0.9454756
105.png,0.946336354,0.9463363
106.png,0.930642374,0.93064237
107.png,0.878380005,0.87838
108.png,0.932753621,0.9327536
109.png,0.934656686,0.93465674
11.png,0.918492682,0.9184927
110.png,0.849605156,0.8496052
111.png,0.91896199,0.918962
113.png,0.939707409,0.9397074
115.png,0.939867415,0.93986744
12.png,0.937458184,0.93745816
13.png,0.958399335,0.9583993
14.png,0.904548283,0.9045483
15.png,0.954589721,0.9545897
16.png,0.954636075,0.9546361
17.png,0.961850224,0.9618502
18.png,0.952504212,0.9525042
19.png,0.954586338,0.9545864
2.png,0.91838378,0.9183838
20.png,0.944871536,0.94487154
21.png,0.957615542,0.9576155
22.png,0.930736979,0.93073696
23.png,0.91320959,0.91320956
24.png,0.92006334,0.9200634
25.png,0.929621929,0.92962193
26.png,0.87271612,0.8727161
27.png,0.90466443,0.9046644
28.png,0.952630475,0.9526305
29.png,0.958071397,0.9580714
3.png,0.865041102,0.86504114
30.png,0.911368697,0.9113687
31.png,0.905415749,0.9054158
32.png,0.932095493,0.9320955
33.png,0.958130238,0.95813024
34.png,0.953670157,0.95367014
35.png,0.938362873,0.93836284
36.png,0.945280004,0.94527996
37.png,0.850116082,0.85011613
38.png,0.849355333,0.84935534
39.png,0.833305879,0.8333059
4.png,0.963992,0.963992
40.png,0.849373272,0.8493732
41.png,0.81770891,0.8177089
42.png,0.821391181,0.8213912
43.png,0.850962167,0.85096216
44.png,0.801141513,0.8011415
45.png,0.920431261,0.92043126
46.png,0.896662222,0.89666224
47.png,0.833597951,0.8335979
48.png,0.916926989,0.916927
5.png,0.922389567,0.92238957
52.png,0.917653305,0.9176533
53.png,0.952470315,0.9524703
55.png,0.932262351,0.9322623
56.png,0.899513232,0.89951324
57.png,0.929516143,0.92951614
6.png,0.941051428,0.9410515
60.png,0.934203897,0.93420386
61.png,0.946064809,0.94606483
62.png,0.935578524,0.9355785
63.png,0.872474348,0.8724743
64.png,0.953438519,0.9534385
65.png,0.942762936,0.9427629
66.png,0.949319117,0.9493191
67.png,0.94099412,0.94099414
68.png,0.935563411,0.93556345
69.png,0.890046507,0.8900465
7.png,0.951604069,0.95160407
70.png,0.951437857,0.95143783
71.png,0.913187329,0.9131873
72.png,0.9251891,0.92518914
73.png,0.950252329,0.9502523
74.png,0.948756865,0.9487568
75.png,0.952731949,0.95273197
76.png,0.923856094,0.9238561
77.png,0.948545222,0.9485452
78.png,0.936916952,0.93691695
79.png,0.889560014,0.88956
8.png,0.91679047,0.9167905
80.png,0.885737895,0.8857379
81.png,0.93043872,0.93043876
82.png,0.863950072,0.8639501
83.png,0.867513487,0.86751354
84.png,0.951696861,0.9516969
85.png,0.936426813,0.93642676
86.png,0.924437552,0.9244375
87.png,0.927670472,0.9276705
88.png,0.934549627,0.93454957
89.png,0.940519277,0.9405193
9.png,0.956296,0.956296
90.png,0.955458666,0.95545864
91.png,0.946237553,0.94623756
92.png,0.954272316,0.9542723
93.png,0.91713439,0.9171344
94.png,0.930996126,0.9309961
95.png,0.95027218,0.9502722
96.png,0.934465832,0.9344658
97.png,0.914672257,0.91467226
99.png,0.899512726,0.89951277
total results,0.919403445,0.9187832
